"uri","Term","Definition","Vocabulary","voclink","Organization","Theme"
"http://purl.org/iow/Glossary#c_d508285a","100-year flood event","A flood event with a 1 percent chance of being equaled or exceeded in any given year (also known as a base flood).","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_b1adfc02","500-year flood event","A flood event with a 0.2 percent chance of being equaled or exceeded in any given year.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_5392749f","alluvial fan flooding","Flows of shallow depth and high velocity, with sediment transport, along uncertain flow paths on the surface and at the toe of alluvial fans. Typically caused by localized rainstorms, often with snowmelt.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Hydrology"
"http://purl.org/iow/Glossary#c_0c56f851","Central Valley Flood Protection Plan","The CVFPP is a State plan that describes the challenges, opportunities, and a vision for improving flood management in the context of integrated water management in the Central Valley. The CVFPP documents the current and future risks associated with flooding and recommends improvements to the Federal-State flood protection system to reduce the occurrence of major flooding and the consequence of flood damage that could result. The plan is updated every five years.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_c1907269","coastal flooding","Inundation at locations normally above the level of high tide and often caused by storm surges occurring with high tides. Impacts include property damage and beach erosion.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Infrastructure"
"http://purl.org/iow/Glossary#c_fbd56c5a","debris flow flooding","Flows made up of water, liquefied mud, and debris that can form and accelerate quickly, reach high velocities, and travel great distances. They are commonly caused by heavy localized rainfall on hillsides denuded of vegetation.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Other"
"http://purl.org/iow/Glossary#c_62cd83cf","flash flooding","Quickly forming floods with high-velocity flows often caused by stationary or slow-moving storms. Flash floods typically occur on steep slopes and impermeable surfaces, and in areas adjacent to local streams and creeks.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Hydrology"
"http://purl.org/iow/Glossary#c_862440bd","Flood-managed aquifer recharge","An integrated and voluntary resource management strategy that uses floodwater resulting from, or in anticipation of, rainfall or snowmelt for managed aquifer recharge on agricultural lands; working landscapes; and managed natural landscapes, including but not limited to refuges, floodplains, and flood bypasses.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_cd69cce5","flood fight","The emergency measures used to prevent levee failure from seepage, erosion, or overtopping during high water.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_d7d9c476","flood hazard","The Federal Emergency Management Agency defines a flood hazard as any flood event or condition with the potential to cause fatalities, injuries, property damage, infrastructure damage, agricultural loss, environmental damage, business interruption, or other loss.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_d3a1b9b3","flood insurance rate map","A FIRM is the official map of a community on which the Federal Emergency Management Agency has delineated the special flood hazard areas, the base flood elevations, and the risk premium zones applicable to the community.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_8e62969e","flood irrigation","A method of irrigation in which water is applied to the soil surface without flow controls, such as furrows, borders, or corrugations.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Water Use"
"http://purl.org/iow/Glossary#c_399271af","flood management","See flood risk management.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_57905db2","flood risk","Flood risk is the likelihood of consequence of inundation within an identified area, given a specified climate condition, land use condition, and flood management system (existing or planned) in place. The consequence may be direct or indirect economic cost, loss of life, environmental impact, or other specified measure of flood effect. Flood risk is a function of the following components:","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_0432193d","flood risk management","Flood risk management seeks to reduce flood risks by managing the floodwaters to reduce the probability of flooding (including by levees and dams) and by managing the floodplains to reduce the consequences of flooding. Flood risk management requires integrating and synchronizing programs at various levels of government designed to reduce flood risk. (U.S. Army Corps of Engineers 2019)","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_f56468de","floodplain","The extent of the flood hazard for a 100-year (1 percent chance of exceedance in a given year) or 500-year (0.2 percent chance of exceedance in a given year) event, as determined by the Central Valley Flood Protection Plan, Federal Emergency Management Agency, or U.S. Army Corps of Engineers.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_baa4c68e","Floodplain","A strip of relatively level land bordering a stream or river subject to flooding. Floodplain build up over time by deposits of sediment carried in flood waters.","EPA Aquatic Biodiversity Glossary","https://ofmpub.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details&glossaryName=Aquatic+Biodiversity+Glossary","EPA","Environment and Ecology"
"http://purl.org/iow/Glossary#c_168fee0b","floodplain management","Actions designed to reduce risks to life, property, and the environment resulting from flooding. Actions can include watershed management, infrastructure construction and operation, variations in land use practices, floodway designations, etc.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_0091abed","FloodSAFE California","FloodSAFE California refers to the California Department of Water Resources multi-faceted initiative launched in 2006 to improve public safety through flood management, in the context of integrated water management, and to reduce potential flood damages in areas of the state with the highest risk. Although led at the State level and initially funded by bond money from Propositions 1E (2006) and 84 (2006), FloodSAFE implementation relies on the cooperation and assistance of federal partners, tribal entities, local sponsors, and other stakeholders. The FloodSAFE vision is a sustainable system of flood management, with an integrated water management approach and emergency response throughout California, which improves public safety, protects and enhances environmental and cultural resources, and supports economic growth by reducing the probability of destructive floods, promoting beneficial floodplain processes, and lowering the damages caused by flooding.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_53a13cc7","National Flood Insurance Program","The NFIP is a federal program created by the U.S. Congress to mitigate future flood losses nationwide. The NFIP requires local communities to enforce building and zoning ordinances in exchange for access to affordable, federally backed flood insurance protection for property owners.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_50c3dc4a","slow rise flooding","Slow rise flooding occurs as a gradual inundation as waterways or lakes overflow their banks and is most often caused by heavy precipitation, especially with heavy snowmelt. It includes riverine flooding in deep floodplains and ponding of water in low-lying urban areas, as well as gradual flooding in areas adjacent to local streams and creeks.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Hydrology"
"http://purl.org/iow/Glossary#c_2e1a9570","State Plan of Flood Control","Collectively, the facilities, lands, programs, conditions, and mode of operation and maintenance for the State-Federal flood protection system in the Central Valley.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Legal and Regulatory"
"http://purl.org/iow/Glossary#c_573f27ba","tsunami flooding","Tsunami flooding occurs as a result of high-speed ocean waves triggered by mass movement that displaces a large volume of water. Earthquakes and underwater landslides may cause a tsunami, and the impact on land depends on wave height and inundation area.","CA-DWR Glossary","https://water.ca.gov/Water-Basics/Glossary","CA-DWR","Hydrology"
